x,y,z
-0.992463,-0.0935422,0.0888898
0.892685,-0.2074,-0.929354
-0.852554,-0.977571,-0.235822
0.359615,0.160055,0.309019
-0.15723,0.529677,-0.452759
0.483898,0.955732,0.951077
0.460224,-0.829709,0.256447
-0.11563,0.501059,-0.452898
-0.282497,0.769904,0.889347
-0.342243,0.938434,-0.819432
0.895555,-0.247695,-0.444598
-0.0538736,0.894419,-0.739
-0.952762,0.26702,0.466949
-0.379347,-0.246482,0.699464
-0.185682,-0.154638,0.0382908
-0.64882,-0.66572,-0.927533
0.0811315,0.496544,0.114585
0.701032,-0.666659,-0.757615
-0.825803,0.418229,0.862125
-0.376063,0.754885,0.370997
-0.228483,-0.75382,0.180228
0.933271,0.0909857,0.12437
-0.556992,0.902634,-0.760237
0.238109,-0.722192,0.636468
-0.552004,-0.603653,-0.94649
-0.698252,0.874569,0.766335
-0.842289,-0.744306,0.525034
-0.107658,0.621839,-0.55826
0.354888,0.728751,-0.0069085
0.638123,0.524219,0.264429
-0.110582,0.422897,0.980736
-0.00741291,-0.760867,0.716974
-0.107238,0.439177,0.621903
-0.944331,0.720618,-0.834564
0.468523,0.36135,-0.598687
-0.702052,-0.136859,0.0183185
0.736259,0.563643,-0.261952
0.212175,-1.01716,-0.141483
0.344264,0.685536,0.420063
0.255623,-0.561929,0.892541
-0.202018,-0.453877,0.546057
-0.407594,-0.617458,-0.19897
0.21018,-0.692567,0.958964
-0.812139,-0.532764,0.609069
0.408169,0.29026,-0.914887
-0.352454,0.405856,0.0432317
0.0730279,0.423953,-0.714992
0.695504,0.659337,-0.360184
-0.768094,0.182085,0.00423597
-0.268704,-0.238185,-0.277728
-0.445582,-0.50565,0.346784
0.497875,0.440351,0.893732
-0.331982,0.265256,-0.193762
-0.698654,0.351164,0.00455028
0.671947,0.877437,-0.457228
-0.0715747,0.654904,-0.106109
0.143097,0.527024,-0.657674
-0.843855,-0.671048,0.497334
-0.142241,0.0886893,-0.230982
0.22774,0.32482,-0.403073
0.661232,-0.399876,-0.980289
0.532551,-0.548636,-0.421128
-0.953104,0.011838,-0.116324
0.652167,0.426733,-0.322428
-0.884525,-0.990667,0.710707
-0.0271459,0.169575,0.0954914
-0.939299,0.20629,0.218186
0.887089,-0.303563,-0.168217
0.620989,0.529191,0.356251
0.324191,-0.772747,0.0895225
-0.980529,-0.160031,-0.85478
0.702164,-0.752955,0.522138
0.853445,0.512209,0.0159945
0.386652,0.520115,0.276011
0.207634,-0.544568,0.316292
-0.694538,-0.921227,0.905443
-0.0168855,-0.959798,0.186536
-0.856562,-0.0856599,-0.867096
-0.114988,-0.333475,-0.124136
-0.644035,-0.258572,-0.754362
0.0539661,-0.814402,0.661273
-0.38333,0.447642,0.520734
0.656013,0.901427,0.223513
-0.132822,-0.201164,-0.159674
-0.067002,-0.573487,0.64493
0.733932,-0.532604,-0.216359
-0.869024,0.586031,-0.0339949
-0.589628,0.933142,0.884431
-0.670453,-0.301915,-0.388914
0.669452,0.473945,0.251636
-0.89375,-0.558269,-0.585629
0.402127,0.00709275,-0.263345
-0.605902,-0.091091,0.721452
-0.923579,0.071839,-0.333951
-0.58402,-0.167474,0.966671
-0.687655,0.985219,0.907439
0.385057,0.17228,-0.697052
-0.813133,0.0385372,0.706057
0.0572586,0.414171,-0.942913
-0.328951,-0.878616,0.146037
-0.649588,-0.825971,0.184418
0.606591,0.86916,0.0526079
-0.0510552,0.0735748,0.383426
0.103153,0.220264,0.184917
0.154567,0.000644286,0.422677
-0.924954,-0.514807,0.0865691
0.207022,0.547299,0.0699288
0.390121,-0.243307,0.382925
