x,y,z
-0.112159,0.0780165,-0.0230196
-0.0945876,0.116065,-0.01051
-0.0282859,0.0508374,-0.0727689
-0.0896334,0.0790984,-0.00085389
-0.110093,0.127369,0.0257069
-0.117985,0.068623,0.0360083
-0.0522818,0.0700207,0.041531
-0.0819707,0.118998,-0.00563191
-0.0641884,0.0722652,0.0300403
-0.0975602,0.114492,0.0687927
-0.134797,0.0715518,0.0916048
-0.0905564,0.107321,0.0592473
-0.0907928,0.135756,0.0434509
-0.0510251,0.135483,0.0793104
-0.0744069,0.138925,0.102337
-0.0739873,0.135831,0.156077
-0.0953389,0.166283,0.148372
-0.127748,0.114719,0.186238
-0.0432968,0.12955,0.149793
-0.0137207,0.0910165,0.107746
0.0127767,0.133025,0.126835
0.0215013,0.0801015,0.165732
-0.0236512,0.0907407,0.230916
-0.0027408,0.0389563,0.177861
0.0265714,-0.0334164,0.20726
-0.00261145,-0.0223636,0.228702
-0.0288666,-0.0123999,0.176739
-0.0186397,-0.0372388,0.216912
-0.0268937,0.0200685,0.149339
0.0427941,0.00930684,0.0930131
0.0465039,0.0556264,0.0669732
0.0384515,0.0126252,0.0809998
-0.001572,-0.049095,0.0986844
-0.0500773,-0.0620431,0.0757748
-0.0846393,-0.00644155,0.0401536
-0.0828562,0.00434479,0.00375299
-0.0991275,0.0126285,0.000803634
-0.106218,-0.014081,0.0247544
-0.150143,-0.0378287,0.0263029
-0.149364,0.0292704,0.0132234
-0.133516,-0.0250004,-0.0567943
-0.11967,-0.0243357,-0.122478
-0.157224,-0.00104998,-0.155597
-0.104236,0.0511596,-0.16177
-0.116102,0.0942668,-0.204943
-0.12246,0.13122,-0.224488
-0.0985141,0.101528,-0.187154
-0.049842,0.107695,-0.171503
-0.0372838,0.04786,-0.131277
-0.0369508,-0.0227546,-0.0871612
0.0441262,-0.00624835,-0.0865732
0.076894,0.0316667,-0.0588862
0.109555,0.0297208,-0.0604108
0.12531,-0.0315319,-0.0413959
0.154493,-0.0657639,-0.0478302
0.12587,-0.111438,-0.0802429
0.121413,-0.178509,-0.0142955
0.14444,-0.122575,-0.0131255
0.184352,-0.0819376,0.0095993
0.166324,-0.108237,0.0217692
0.129913,-0.116917,0.10303
0.139982,-0.116116,0.113269
0.144186,-0.0874061,0.117385
0.0780545,-0.123839,0.114061
0.112884,-0.10862,0.121868
0.115162,-0.146848,0.0816773
0.0909138,-0.131315,0.0769209
0.0295692,-0.162329,0.0951809
-0.0328193,-0.1201,0.0740073
-0.0971286,-0.090826,0.0962339
-0.120548,-0.107822,0.0605815
-0.180537,-0.131901,0.0820838
-0.188056,-0.0839644,0.0191235
-0.203659,-0.0799053,0.0170986
-0.230389,-0.10453,0.0325263
-0.167858,-0.0481435,0.0728749
-0.173109,-0.00374457,0.0589825
-0.148785,-0.0151135,0.0421916
-0.173857,-0.0601527,0.0521498
-0.213464,-0.0758349,0.064462
-0.199763,-0.0197955,0.0357119
-0.216953,-0.00533062,0.0656761
-0.169365,-0.0581403,0.0884306
-0.162252,-0.0503405,0.150368
-0.177463,-0.0996906,0.101894
-0.154873,-0.10885,0.122269
-0.212438,-0.0827211,0.118983
-0.203186,-0.0938956,0.0379269
-0.184055,-0.138338,0.0849743
-0.188741,-0.143083,0.0731825
-0.194445,-0.17066,0.0754173
-0.145411,-0.194798,0.0752919
-0.115696,-0.213059,0.131082
-0.0746743,-0.199373,0.148724
-0.0769534,-0.140782,0.145973
-0.0801746,-0.171731,0.131055
-0.0900967,-0.217362,0.0780673
-0.121651,-0.239216,0.0871707
-0.087554,-0.210187,0.0589215
-0.0437165,-0.187664,0.0978751
-0.0755046,-0.169221,0.127397
-0.125648,-0.174734,0.118832
-0.137856,-0.142734,0.0911589
-0.0798786,-0.121112,0.0626555
-0.111151,-0.105262,0.0619695
-0.109007,-0.0862981,0.0350922
-0.0691879,-0.129237,0.0838939
-0.0861749,-0.117564,0.117026
-0.0431588,-0.125272,0.0669367
-0.0175521,-0.0922532,0.0643964
-0.0453195,-0.117058,0.0895143
-0.0206203,-0.109666,0.095978
-0.0556842,-0.0994583,0.0429872
-0.084292,-0.0322245,-0.0185515
-0.01692,-0.043178,-0.00285468
-0.0346635,-0.0393776,0.031118
-0.0174092,0.0197972,0.0587854
0.0105259,0.0626546,0.0153011
0.0118597,0.00854491,0.0606262
0.0474526,0.0230776,0.0349004
0.0658147,-0.0153779,0.0371303
0.0844044,-0.0398701,0.0505491
0.0584013,-0.0896129,0.0763478
0.0264759,-0.110327,0.0811301
0.0753167,-0.0928107,0.0815745
0.0952761,-0.0557553,0.0798402
0.132007,-0.0497058,0.0361266
0.133045,-0.0239601,0.0834121
0.0705604,0.0459085,0.117961
0.0455502,0.00472323,0.100503
0.0504415,0.0336301,0.102586
0.0470762,0.0823762,0.0270353
0.0523917,0.036528,0.0631928
0.0504854,-0.0472871,0.12733
-0.00707111,-0.0664773,0.07721
-0.0289063,-0.0422255,0.0844638
-0.0151547,-0.0699169,0.0636136
-0.0311198,-0.0949717,0.116364
-0.0413258,-0.0575995,0.0622171
-0.0961437,-0.0437587,0.00968656
-0.0810513,-0.0147221,-0.0645563
-0.0820362,-0.0105633,-0.118413
-0.0519906,0.0763114,-0.119813
-0.0936231,0.0448423,-0.107343
-0.157096,0.0287344,-0.11476
-0.182793,0.0300846,-0.104014
-0.185675,0.0682764,-0.0792055
-0.143831,0.0341421,-0.151894
-0.0898464,0.0543802,-0.209321
-0.0769028,0.11031,-0.230573
-0.0524327,0.122566,-0.255107
-0.0855798,0.0749284,-0.18117
-0.0399521,0.125922,-0.193551
-0.0814646,0.153657,-0.244113
-0.0333812,0.188301,-0.207262
-0.0703531,0.16013,-0.239103
-0.0850856,0.133975,-0.22112
-0.100216,0.136248,-0.237841
-0.125853,0.106872,-0.187237
-0.0674817,0.105701,-0.134542
-0.0757053,0.0694149,-0.0839683
-0.0869215,0.0913451,-0.101309
-0.0916553,0.0517949,-0.131117
-0.0618749,0.0806594,-0.200082
-0.028962,0.126687,-0.200477
-0.00390305,0.0695714,-0.176291
0.0010035,0.0346927,-0.154965
0.0386656,0.0260031,-0.120621
0.000858862,-0.0263695,-0.0601522
0.0422163,-0.0930352,-0.037123
0.043386,-0.0750095,-0.0102752
0.0277549,-0.0462749,-0.00576889
-0.0495148,-0.09733,0.0201001
0.0430496,-0.07935,0.0746896
0.0254744,-0.104746,0.0342154
0.112115,-0.0819407,0.0701737
0.0998844,-0.0410748,0.0815541
0.15684,-0.0747713,0.0957479
0.160226,-0.0911477,0.0312797
0.0873524,-0.0729775,-0.0197945
0.0888215,-0.0887311,-0.0661172
0.125686,-0.0625102,-0.0613549
0.137001,-0.0933893,-0.0566783
0.13387,-0.109128,-0.0260154
0.132562,-0.108098,0.024585
0.15683,-0.0224943,0.0428287
0.117887,-0.0461733,-0.0182087
0.0805342,-0.0658562,0.00626174
0.0680478,-0.0301902,0.0334448
0.0144215,0.0332118,0.0543932
0.017269,0.0576897,0.0263698
0.013462,0.0740513,-0.0357949
0.046694,0.123043,-0.0893594
0.00691237,0.171915,-0.0943956
-0.00479486,0.195213,-0.0924301
-0.062631,0.145401,-0.0811837
-0.0930291,0.145762,-0.0959755
-0.123724,0.174416,-0.0762086
-0.181652,0.187546,-0.0404913
-0.140655,0.111207,-0.0223195
-0.175945,0.118733,-0.0281448
-0.192371,0.107675,-0.022742
-0.163305,0.0989557,-0.0129723
-0.189706,0.0949924,-0.019591
-0.217019,0.0306713,0.0122463
-0.236649,0.00140815,-0.0155437
-0.209913,0.0230607,-0.0268492
-0.2073,0.0955478,-0.0690802
-0.180939,0.0737376,-0.142023
-0.178796,0.0113166,-0.151687
-0.238496,-0.0617696,-0.119638
-0.226824,-0.082647,-0.0734623
-0.211991,-0.0628882,-0.0349104
-0.207467,-0.113225,-0.0421513
-0.220517,-0.123275,-0.0196766
-0.224567,-0.102164,-0.0448839
-0.226395,-0.132071,-0.0546858
-0.224743,-0.094432,-0.0819736
-0.182166,-0.0736255,-0.0485671
-0.198051,-0.0115724,-0.0372265
-0.174754,0.0220529,0.037177
-0.203622,-0.0151665,0.107552
-0.221988,0.0635949,0.133625
-0.148037,0.0461947,0.183277
-0.13471,0.0319859,0.114919
-0.148751,0.0346324,0.124638
-0.168909,0.0593379,0.137102
-0.182677,-0.00687976,0.179789
-0.207997,0.0274406,0.230316
-0.149752,0.0306478,0.153237
-0.136724,0.0567591,0.184729
-0.16899,0.0433844,0.11817
-0.230377,0.0214892,0.102072
-0.258622,0.029996,0.109756
-0.284751,-0.00995059,0.100629
-0.272843,-0.0381134,0.11366
-0.194842,-0.0213046,0.137678
-0.208644,-0.0897613,0.149898
-0.166007,-0.0796161,0.0960902
-0.130887,-0.14363,0.0793248
-0.091098,-0.160491,0.0120563
-0.100915,-0.137249,-0.050418
-0.0873701,-0.196067,-0.033543
-0.10837,-0.183215,-0.0661328
-0.0788549,-0.110892,-0.0703812
-0.0860678,-0.102776,-0.0227694
-0.0854643,-0.0701367,0.00374766
-0.0823938,-0.0285455,-0.0532207
-0.0543244,-0.0570674,-0.0832958
-0.0852777,-0.0766383,-0.0170787
-0.0137628,-0.0457852,-0.0653694
0.0449906,-0.0475859,-0.034367
0.100968,-0.0587101,0.00950213
0.120731,-0.10457,-0.0269261
0.189447,-0.0604229,0.0129743
0.203675,-0.0504243,-0.0061844
0.145392,-0.0224382,-0.00848428
0.190686,-0.0237096,-0.0848439
0.136671,-0.0395011,-0.0601203
0.0979925,-0.0469159,-0.00473464
0.0982916,-0.102553,0.0331142
0.122068,-0.0788322,0.0923465
0.119711,-0.101157,0.0725641
0.145963,-0.0981085,0.107618
0.0866508,-0.101909,0.131853
0.140095,-0.167959,0.124496
0.0989197,-0.202317,0.103913
0.117904,-0.220329,0.113827
0.135717,-0.18242,0.129672
0.139367,-0.130033,0.0806162
0.133634,-0.155014,0.0812433
0.0862039,-0.195791,0.0734964
0.0784071,-0.208957,0.0340026
0.120047,-0.153608,0.0728655
0.126903,-0.13584,0.0297817
0.0856287,-0.155039,0.00812468
0.111073,-0.126117,0.0233402
0.0933527,-0.131928,0.0652477
0.0787006,-0.100838,0.0877148
0.0780413,-0.0975214,0.0833133
0.0681681,-0.068113,0.0817152
0.126551,-0.101426,0.043104
0.147941,-0.0667625,0.0181648
0.136964,-0.0738147,-0.0455693
0.19743,-0.142876,-0.0267926
0.170074,-0.119759,-0.0882594
0.249597,-0.155128,-0.0516646
0.237704,-0.106454,-0.0685882
0.231683,-0.107334,-0.115504
0.22432,-0.149854,-0.067284
0.161024,-0.149871,-0.0829683
0.16686,-0.0953888,-0.0685023
0.201884,-0.0935143,-0.0722801
0.14918,-0.099924,-0.0918399
0.121563,-0.0985658,-0.0820544
0.186566,-0.0619802,-0.065303
0.160021,-0.0836584,-0.125793
0.109622,-0.0708062,-0.0873921
0.140777,-0.12157,-0.160061
0.155962,-0.107609,-0.174431
0.151903,-0.12915,-0.204078
0.146522,-0.117053,-0.197102
0.139757,-0.14835,-0.241115
0.0695789,-0.104391,-0.23279
0.0534498,-0.0161857,-0.274222
0.0442498,-0.0205583,-0.260991
0.0176508,0.0445164,-0.28525
0.00329194,0.0212779,-0.254534
0.03215,0.00287546,-0.257942
0.056128,0.0208238,-0.319984
0.0340615,0.00327363,-0.297672
0.0252786,0.0265161,-0.28767
0.0146795,-0.00776848,-0.273198
0.0165831,0.0232752,-0.300473
-0.0207546,-0.0336784,-0.291777
-0.0949881,-0.0587243,-0.32143
-0.0271438,-0.0915861,-0.265294
0.0569262,-0.0800056,-0.282628
0.0120213,-0.0230675,-0.227735
-0.0266535,-0.0277481,-0.255512
-0.0278186,-0.0264736,-0.184032
-0.0905786,-0.0284618,-0.135247
-0.153641,0.0438745,-0.0937183
-0.0678944,0.0111584,-0.0865747
-0.103901,-0.0501394,-0.0606295
-0.142372,-0.0151061,-0.0874586
-0.155572,-0.0357377,-0.0527869
-0.112102,-0.0385155,-0.0326005
-0.153307,-0.0671441,0.0107353
-0.180322,-0.0401999,0.0875271
-0.0969245,-0.0577328,0.0595953
-0.0403749,-0.0530373,0.0257052
-0.0679893,0.036547,0.0412582
